City,State,State Name,Water Utility,Hardness (mg/L CaCO3),Hardness Class,Infrastructure Class,Winter Risk,Avg Winter Temp (F),Climate,Pipe Material,Pipe Era,Sewer System,Soil Type,Dominant Failure,Risk Score,Risk Class
"Warren",MI,"Michigan","Detroit Water and Sewerage Department",125,"Hard",mixed,high,22,"humid continental","copper in older homes, PVC and PEX dominant in post-1980 construction","1950s–1970s in established areas, 1980s–2000s in suburban development","Detroit Water and Sewerage Department — regional system serving metro Detroit","glacial till and clay — frost penetrates 30–36 inches in severe winters","freeze-thaw burst pipes and aging copper supply line corrosion",8,High
"Savannah",GA,"Georgia","City of Savannah Water and Sewer Bureau",55,"Soft",aging,low,47,"humid subtropical","cast iron and galvanized in historic homes, copper in post-1960 construction","1940s–1960s in historic areas, 1970s–1990s in suburban expansion","City of Savannah Water and Sewer Bureau — separate system with coastal infrastructure","coastal marsh and sandy soil — high water table","corrosion from salt air and storm-driven sewer backups",5,Moderate
"Chattanooga",TN,"Tennessee","Tennessee American Water",65,"Moderately Hard",mixed,med,36,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","Tennessee American Water — separate system with aging infrastructure","rocky soil and clay — challenging for excavation","aging copper pipe corrosion and storm-driven sewer backups",6,Elevated
"Knoxville",TN,"Tennessee","Knoxville Utilities Board",55,"Soft",mixed,med,34,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","Knoxville Utilities Board — separate system with aging infrastructure","rocky soil and clay — challenging for excavation","aging copper pipe corrosion and freeze-thaw burst pipes",5,Moderate
"Clarksville",TN,"Tennessee","Clarksville Gas and Water",95,"Moderately Hard",mixed,med,35,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","Clarksville Gas and Water — separate system with aging infrastructure","clay soil — affects drainage and foundation movement","aging copper pipe corrosion and freeze-thaw burst pipes",6,Elevated
"Jackson",MS,"Mississippi","City of Jackson Water Department",75,"Moderately Hard",aging,med,40,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1950s–1970s in established areas, 1980s–2000s in suburban expansion","City of Jackson Water Department — combined system with overflow issues","clay soil — affects drainage and foundation movement","aging infrastructure and storm-driven sewer backups",7,Elevated
"Gulfport",MS,"Mississippi","City of Gulfport Water Department",115,"Moderately Hard",mixed,low,48,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Gulfport Water Department — separate system with coastal infrastructure","coastal sandy soil — high water table","hurricane damage and storm-driven sewer backups",5,Moderate
"Southaven",MS,"Mississippi","Southaven Water Department",125,"Hard",modern,med,38,"humid subtropical","PVC and CPVC dominant, copper in custom homes","1980s–2000s in established areas, 2000s–2020s in new development","Southaven Water Department — separate system with modern infrastructure","clay soil — affects drainage and foundation movement","storm-driven sewer backups and hard water scale accumulation",6,Elevated
"Biloxi",MS,"Mississippi","City of Biloxi Water Department",120,"Moderately Hard",mixed,low,49,"humid subtropical","copper in older homes, PVC and CPVC dominant in post-1970 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Biloxi Water Department — separate system with coastal infrastructure","coastal sandy soil — high water table","hurricane damage and storm-driven sewer backups",5,Moderate
"Fargo",ND,"North Dakota","City of Fargo Water Works",180,"Hard",mixed,high,8,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Fargo Water Works — separate system with modern infrastructure","glacial till and clay — challenging for excavation","frozen pipes in uninsulated areas and hard water scale accumulation",8,High
"Grand Forks",ND,"North Dakota","City of Grand Forks Water Works",165,"Hard",mixed,high,5,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Grand Forks Water Works — separate system with aging infrastructure","glacial till and clay — challenging for excavation","frozen pipes in uninsulated areas and hard water scale accumulation",8,High
"Bismarck",ND,"North Dakota","City of Bismarck Water Works",175,"Hard",mixed,high,10,"humid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Bismarck Water Works — separate system with modern infrastructure","glacial till and clay — challenging for excavation","frozen pipes in uninsulated areas and hard water scale accumulation",8,High
"Billings",MT,"Montana","City of Billings Water Department",145,"Hard",mixed,high,22,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Billings Water Department — separate system with aging infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Missoula",MT,"Montana","City of Missoula Water Department",135,"Hard",mixed,high,24,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Missoula Water Department — separate system with aging infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Bozeman",MT,"Montana","City of Bozeman Water Department",130,"Hard",modern,high,18,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1970s–1990s in established areas, 2000s–2020s in new development","City of Bozeman Water Department — separate system with modern infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",7,Elevated
"Helena",MT,"Montana","City of Helena Water Department",140,"Hard",mixed,high,20,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Helena Water Department — separate system with aging infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Cheyenne",WY,"Wyoming","City of Cheyenne Board of Public Utilities",185,"Very Hard",mixed,high,22,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Cheyenne Board of Public Utilities — separate system with aging infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",9,High
"Casper",WY,"Wyoming","City of Casper Water Department",170,"Hard",mixed,high,20,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1960s–1980s in established areas, 1990s–2010s in suburban expansion","City of Casper Water Department — separate system with aging infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",8,High
"Laramie",WY,"Wyoming","City of Laramie Water Department",155,"Hard",modern,high,18,"semi-arid continental","copper in older homes, PEX dominant in post-1980 construction","1970s–1990s in established areas, 2000s–2020s in new development","City of Laramie Water Department — separate system with modern infrastructure","rocky soil and alluvial deposits — challenging for excavation","hard water scale accumulation and frozen pipes in uninsulated areas",7,Elevated
